fips,B19001_002E,B19001_003E,B19001_004E,B19001_005E,B19001_006E,B19001_007E,B19001_008E,B19001_009E,B19001_010E,B19001_011E,B19001_012E,B19001_013E,B19001_014E,B19001_015E,B19001_016E,B19001_017E,B19037_001E,B19037_002E,B19037_003E,B19037_004E,B19037_005E,B19037_006E,B19037_007E,B19037_008E,B19037_009E,B19037_010E,B19037_011E,B19037_012E,B19037_013E,B19037_014E,B19037_015E,B19037_016E,B19037_017E,B19037_018E,B19037_019E,B19037_020E,B19037_021E,B19037_022E,B19037_023E,B19037_024E,B19037_025E,B19037_026E,B19037_027E,B19037_028E,B19037_029E,B19037_030E,B19037_031E,B19037_032E,B19037_033E,B19037_034E,B19037_035E,B19037_036E,B19037_037E,B19037_038E,B19037_039E,B19037_040E,B19037_041E,B19037_042E,B19037_043E,B19037_044E,B19037_045E,B19037_046E,B19037_047E,B19037_048E,B19037_049E,B19037_050E,B19037_051E,B19037_052E,B19037_053E,B19037_054E,B19037_055E,B19037_056E,B19037_057E,B19037_058E,B19037_059E,B19037_060E,B19037_061E,B19037_062E,B19037_063E,B19037_064E,B19037_065E,B19037_066E,B19037_067E,B19037_068E,B19037_069E
37119006209,128,81,53,123,15,105,111,149,157,175,165,227,490,54,76,99,2208,167,0,0,25,0,0,13,34,33,0,51,0,11,0,0,0,0,1153,113,38,0,64,0,13,50,30,109,58,49,180,302,41,31,75,668,15,28,15,14,0,67,27,73,48,29,93,26,165,13,45,10,220,0,15,13,45,15,12,0,13,0,37,23,10,23,0,0,14
37129010600,82,25,124,122,109,145,175,82,52,191,161,144,205,86,124,140,1967,46,10,12,0,0,13,0,0,0,0,0,0,0,0,0,11,0,438,0,0,0,64,36,59,31,9,0,54,31,58,69,0,0,27,625,15,0,13,19,29,21,27,35,15,59,73,63,71,17,95,73,858,57,13,111,39,31,65,117,38,37,78,57,23,65,69,18,40
37135012100,389,138,142,123,25,171,189,217,142,239,194,372,320,155,131,336,3283,480,174,50,33,0,13,90,48,21,12,0,0,20,19,0,0,0,1176,130,15,71,63,0,26,39,121,92,158,71,57,147,43,46,97,1154,73,53,12,60,0,26,46,48,24,63,93,200,131,100,35,190,473,12,20,26,0,12,29,56,27,14,18,30,95,23,12,50,49
37183051502,63,133,74,51,17,52,49,32,41,48,24,83,61,49,45,193,1015,122,21,14,4,23,0,0,24,12,24,0,0,0,0,0,0,0,253,0,55,40,5,4,24,12,5,12,0,6,10,16,12,14,38,432,33,64,16,13,13,8,13,10,0,32,5,46,20,29,5,125,208,9,0,14,10,0,20,0,5,5,16,13,27,25,8,26,30
37183053004,9,10,11,42,0,32,0,28,33,7,158,55,87,125,137,318,1052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302,0,0,0,36,0,0,0,0,22,0,73,0,19,73,14,65,479,9,10,0,0,0,7,0,9,11,7,49,25,40,43,104,165,271,0,0,11,6,0,25,0,19,0,0,36,30,28,9,19,88
37183054007,44,74,58,74,104,154,80,97,32,181,227,127,143,158,123,113,1789,85,0,43,0,0,26,10,0,0,0,6,0,0,0,0,0,0,669,20,0,20,33,58,31,70,36,21,30,128,49,64,49,23,37,686,14,10,38,41,20,65,0,35,0,79,78,31,43,76,91,65,349,10,21,0,0,0,48,10,26,11,66,21,47,36,33,9,11
39035187105,78,91,23,33,23,20,59,5,10,57,50,94,60,117,92,71,883,15,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,276,24,10,0,9,5,9,30,0,10,30,20,30,11,43,40,5,361,31,34,7,6,12,0,16,0,0,7,14,30,49,74,20,61,231,23,47,16,18,6,11,13,5,0,5,16,34,0,0,32,5
39035194800,62,15,11,34,22,55,18,18,14,37,38,69,16,7,14,0,430,6,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,228,35,7,8,22,15,17,6,10,9,14,24,47,8,0,6,0,141,12,0,0,5,4,33,3,8,5,20,14,22,0,7,8,0,55,12,8,3,7,0,5,9,0,0,3,0,0,8,0,0,0
39049006430,45,10,74,28,94,105,64,65,37,132,189,224,232,166,133,178,1776,18,0,0,0,0,9,0,0,0,0,0,9,0,0,0,0,0,707,34,0,0,0,47,86,46,33,37,74,63,85,55,32,69,46,696,0,10,22,10,9,0,18,18,0,39,59,104,133,110,53,111,355,11,0,52,18,29,19,0,14,0,19,58,35,44,24,11,21
39049007120,60,58,44,35,61,87,181,77,105,158,274,387,215,34,26,48,1850,52,0,0,0,0,0,15,0,0,0,10,0,16,11,0,0,0,789,33,0,13,7,17,0,97,47,45,76,130,203,59,17,18,27,770,27,48,8,11,44,43,74,19,43,50,116,120,121,17,8,21,239,0,10,23,17,0,29,10,11,17,22,28,48,24,0,0,0
39061025402,113,140,95,59,26,125,118,52,44,56,114,190,74,86,61,47,1400,107,13,27,26,0,0,33,0,0,0,8,0,0,0,0,0,0,589,41,28,42,22,7,38,48,20,8,19,61,111,55,38,19,32,483,50,6,17,15,19,24,70,20,36,24,35,59,13,48,32,15,221,9,79,10,22,0,30,0,12,0,5,18,20,6,0,10,0
39113050303,205,207,192,266,121,139,85,78,118,128,205,162,43,25,51,9,2034,285,48,68,52,53,9,21,0,0,0,26,0,8,0,0,0,0,911,78,55,73,113,64,63,66,46,79,63,109,82,5,5,10,0,559,52,39,17,58,48,43,6,32,22,27,85,60,26,7,28,9,279,27,45,50,42,0,12,13,0,17,12,11,12,12,13,13,0
40109106503,70,50,40,43,53,51,40,18,27,22,45,115,54,22,26,95,771,35,0,3,0,0,0,0,3,0,0,0,16,0,0,13,0,0,252,47,0,12,6,13,36,23,0,11,7,0,34,24,3,11,25,245,10,39,0,17,13,6,14,5,7,15,19,42,22,6,7,23,239,13,8,28,20,27,9,0,13,9,0,10,39,8,0,8,47
